n_hold,k_trade,total_return,annual_return,sharpe,max_drawdown,turnover,objective
30,1,0.003147673448783861,0.027685554180540084,0.23317555456467842,-0.06908156189966752,2.694455441319297,0.14344478514938566
30,5,0.004009961057457323,0.03538723945817246,0.266027480712557,-0.06703956706780867,9.53254100881526,0.11168242567151038
80,1,0.0012895430150494658,0.011261402757233974,0.16591873569580842,-0.075143455138861,1.6171092392633677,0.07718327419441268
100,5,0.0017030730849783016,0.014896391701416878,0.17956630586898042,-0.07250292062604125,3.5247376973753966,0.07522215443914182
100,2,0.0011633616661170798,0.010154546961977262,0.1578527338765389,-0.07177863908422244,1.9662922033550414,0.0687378960910002
100,1,0.00042503800422810656,0.0036994752173962198,0.12948784386932177,-0.07219395404120887,1.5334049578142923,0.04280991625842619
80,3,-0.0007085315358920097,-0.006140148699307346,0.08920692980189017,-0.07225021895865769,2.91303686563446,-0.013590720884896136
80,2,-0.0021936264096725777,-0.01890187113889452,0.035825793064341485,-0.07375155473764827,2.267583732267209,-0.06498885181532403
100,3,-0.0029708463585429445,-0.025522699393507597,0.0018892406234900666,-0.07233700220682004,2.463602218400899,-0.10102547648442486
50,1,-0.004876811504033962,-0.04159178665053498,-0.0680631842288477,-0.07327668250054808,1.9684676606309444,-0.17077816634377319
80,5,-0.005096673613803726,-0.04343026160317065,-0.06629697904337913,-0.07470200536375349,4.200339434127584,-0.1931957259760159
50,2,-0.009903143444283558,-0.08284963287432812,-0.24932138985881636,-0.07463028884979639,3.023858434281463,-0.3739965499399945
50,3,-0.011834650834710803,-0.09828106644276191,-0.32033032708431797,-0.07502256555655185,4.080550201758885,-0.4598276963278803
50,5,-0.013448307333968956,-0.11099646101926697,-0.367634815716905,-0.0772489809116722,6.127155804015581,-0.5330519693366709
30,2,-0.013808006836605102,-0.11380912131823218,-0.4499753143409128,-0.06525511314627785,4.432167423455921,-0.58716811539496
30,3,-0.014197411264248005,-0.11684517876705858,-0.44129298302831677,-0.06869717578076417,6.113192855278765,-0.5995169098903645
