排名,股票代码,分数,权重,目标手数,当前手数,操作,需买卖手数,建议买入价,建议卖出价,流动性,风险提示
1,002591.SZ,5.262599945068359,3.44%,5500,0,buy,5500,5.74,5.72,差,⚠️ 流动性差
2,002486.SZ,4.977910041809082,3.25%,12200,0,buy,12200,2.47,2.47,差,⚠️ 流动性差
3,603818.SH,4.935035705566406,3.23%,8100,0,buy,8100,3.7,3.68,差,⚠️ 流动性差
4,002769.SZ,4.382952690124512,2.86%,3300,0,buy,3300,7.9,7.86,差,⚠️ 流动性差
5,300801.SZ,4.349322319030762,2.84%,1600,0,buy,1600,16.15,16.09,差,⚠️ 流动性差
6,002790.SZ,4.265389442443848,2.79%,3500,0,buy,3500,7.36,7.34,差,⚠️ 流动性差
7,301198.SZ,4.2250237464904785,2.76%,2300,0,buy,2300,10.91,10.87,中,
8,688079.SH,4.125818729400635,2.70%,2700,0,buy,2700,9.15,9.11,差,⚠️ 流动性差
9,300410.SZ,4.0494465827941895,2.65%,4100,0,buy,4100,5.9,5.88,差,⚠️ 流动性差
10,603810.SH,4.0151166915893555,2.62%,1500,0,buy,1500,15.58,15.52,差,⚠️ 流动性差
11,000570.SZ,3.88305926322937,2.54%,4000,0,buy,4000,5.8,5.78,差,⚠️ 流动性差
12,603289.SH,3.863041400909424,2.52%,2400,0,buy,2400,9.53,9.49,差,⚠️ 流动性差
13,002659.SZ,3.8289780616760254,2.50%,4800,0,buy,4800,4.81,4.79,差,⚠️ 流动性差
14,002638.SZ,3.7809650897979736,2.47%,9800,0,buy,9800,2.33,2.33,中,
15,300736.SZ,3.7783124446868896,2.47%,2300,0,buy,2300,9.96,9.92,差,⚠️ 流动性差
16,300642.SZ,3.7731244564056396,2.47%,1600,0,buy,1600,14.22,14.16,中,
17,001228.SZ,3.7726380825042725,2.47%,900,0,buy,900,23.64,23.54,差,⚠️ 流动性差
18,603787.SH,3.762730836868286,2.46%,1900,0,buy,1900,11.76,11.72,差,⚠️ 流动性差
19,600429.SH,3.731933355331421,2.44%,4700,0,buy,4700,4.75,4.73,差,⚠️ 流动性差
20,301017.SZ,3.692456007003784,2.41%,1800,0,buy,1800,12.29,12.25,差,⚠️ 流动性差
21,000757.SZ,3.657365083694458,2.39%,4800,0,buy,4800,4.59,4.57,差,⚠️ 流动性差
22,603115.SH,3.650897979736328,2.39%,1500,0,buy,1500,14.44,14.38,中,
23,000529.SZ,3.633791923522949,2.37%,3600,0,buy,3600,6.11,6.09,中,
24,301246.SZ,3.6248276233673096,2.37%,1500,0,buy,1500,14.29,14.23,差,⚠️ 流动性差
25,603221.SH,3.618164539337158,2.36%,1900,0,buy,1900,11.11,11.07,差,⚠️ 流动性差
26,300365.SZ,3.5813088417053223,2.34%,3400,0,buy,3400,6.26,6.24,中,
27,600272.SH,3.496912717819214,2.29%,1500,0,buy,1500,13.96,13.9,差,⚠️ 流动性差
28,300358.SZ,3.4457175731658936,2.25%,2700,0,buy,2700,7.64,7.6,差,⚠️ 流动性差
29,002216.SZ,3.406567335128784,2.23%,1700,0,buy,1700,11.93,11.89,差,⚠️ 流动性差
30,603122.SH,3.3917176723480225,2.22%,3000,0,buy,3000,6.83,6.81,差,⚠️ 流动性差
31,300317.SZ,3.320375680923462,2.17%,5100,0,buy,5100,3.93,3.91,差,⚠️ 流动性差
32,301332.SZ,3.3083107471466064,2.16%,1900,0,buy,1900,10.52,10.48,差,⚠️ 流动性差
33,600337.SH,3.2974867820739746,2.15%,8900,0,buy,8900,2.23,2.23,差,⚠️ 流动性差
34,000978.SZ,3.2926619052886963,2.15%,3300,0,buy,3300,6.01,5.99,差,⚠️ 流动性差
35,601218.SH,3.2064402103424072,2.10%,5200,0,buy,5200,3.69,3.67,差,⚠️ 流动性差
36,300929.SZ,3.1514461040496826,2.06%,1900,0,buy,1900,9.94,9.9,中,
37,603136.SH,3.1312434673309326,2.05%,1600,0,buy,1600,11.8,11.76,差,⚠️ 流动性差
38,002420.SZ,3.108259677886963,2.03%,3100,0,buy,3100,6.03,6.01,差,⚠️ 流动性差
39,603032.SH,3.106374502182007,2.03%,1300,0,buy,1300,13.92,13.86,差,⚠️ 流动性差
40,603808.SH,3.0759689807891846,2.01%,2400,0,buy,2400,7.79,7.75,中,
41,300272.SZ,3.0552852153778076,2.00%,2900,0,buy,2900,6.2,6.18,差,⚠️ 流动性差
