操作,股票代码,目标手数,建议买入价,预估金额,风险提示
买入,002591.SZ,5500,5.74,31570.0,⚠️ 流动性差
买入,002486.SZ,12200,2.47,30134.000000000004,⚠️ 流动性差
买入,603818.SH,8100,3.7,29970.0,⚠️ 流动性差
买入,002769.SZ,3300,7.9,26070.0,⚠️ 流动性差
买入,300801.SZ,1600,16.15,25839.999999999996,⚠️ 流动性差
买入,002790.SZ,3500,7.36,25760.0,⚠️ 流动性差
买入,301198.SZ,2300,10.91,25093.0,
买入,688079.SH,2700,9.15,24705.0,⚠️ 流动性差
买入,300410.SZ,4100,5.9,24190.0,⚠️ 流动性差
买入,603810.SH,1500,15.58,23370.0,⚠️ 流动性差
买入,000570.SZ,4000,5.8,23200.0,⚠️ 流动性差
买入,603289.SH,2400,9.53,22872.0,⚠️ 流动性差
买入,002659.SZ,4800,4.81,23087.999999999996,⚠️ 流动性差
买入,002638.SZ,9800,2.33,22834.0,
买入,300736.SZ,2300,9.96,22908.000000000004,⚠️ 流动性差
买入,300642.SZ,1600,14.22,22752.0,
买入,001228.SZ,900,23.64,21276.0,⚠️ 流动性差
买入,603787.SH,1900,11.76,22344.0,⚠️ 流动性差
买入,600429.SH,4700,4.75,22325.0,⚠️ 流动性差
买入,301017.SZ,1800,12.29,22122.0,⚠️ 流动性差
买入,000757.SZ,4800,4.59,22032.0,⚠️ 流动性差
买入,603115.SH,1500,14.44,21660.0,
买入,000529.SZ,3600,6.11,21996.0,
买入,301246.SZ,1500,14.29,21435.0,⚠️ 流动性差
买入,603221.SH,1900,11.11,21109.0,⚠️ 流动性差
买入,300365.SZ,3400,6.26,21284.0,
买入,600272.SH,1500,13.96,20940.0,⚠️ 流动性差
买入,300358.SZ,2700,7.64,20628.0,⚠️ 流动性差
买入,002216.SZ,1700,11.93,20281.0,⚠️ 流动性差
买入,603122.SH,3000,6.83,20490.0,⚠️ 流动性差
买入,300317.SZ,5100,3.93,20043.0,⚠️ 流动性差
买入,301332.SZ,1900,10.52,19988.0,⚠️ 流动性差
买入,600337.SH,8900,2.23,19847.0,⚠️ 流动性差
买入,000978.SZ,3300,6.01,19833.0,⚠️ 流动性差
买入,601218.SH,5200,3.69,19188.0,⚠️ 流动性差
买入,300929.SZ,1900,9.94,18886.0,
买入,603136.SH,1600,11.8,18880.0,⚠️ 流动性差
买入,002420.SZ,3100,6.03,18693.0,⚠️ 流动性差
买入,603032.SH,1300,13.92,18096.0,⚠️ 流动性差
买入,603808.SH,2400,7.79,18696.0,
买入,300272.SZ,2900,6.2,17980.0,⚠️ 流动性差
