排名,股票代码,分数,权重,目标手数,当前手数,操作,需买卖手数,执行状态,目标操作,目标需买卖手数,建议买入价,建议卖出价,流动性,风险提示
1,300214.SZ,5.200966835021973,4.74%,52,29,buy,23,本次执行,buy,23,7.75,7.72,差,⚠️ 流动性差
2,000570.SZ,4.884367942810059,4.45%,66,0,buy,66,本次执行,buy,66,5.67,5.65,差,⚠️ 流动性差
3,002998.SZ,4.561114311218262,4.15%,42,37,buy,5,本次执行,buy,5,8.41,8.38,差,⚠️ 流动性差
4,002695.SZ,4.4185686111450195,4.02%,29,0,skip,0,暂不执行,buy,29,11.47,11.44,差,⚠️ 流动性差
5,601996.SH,4.308783054351807,3.92%,123,103,skip,0,暂不执行,buy,20,2.7,2.69,差,⚠️ 流动性差
6,300358.SZ,4.24415922164917,3.86%,38,0,skip,0,暂不执行,buy,38,8.46,8.43,差,⚠️ 流动性差
7,000790.SZ,4.17204475402832,3.80%,81,0,skip,0,暂不执行,buy,81,3.96,3.95,差,⚠️ 流动性差
8,300753.SZ,4.126709938049316,3.76%,14,0,skip,0,暂不执行,buy,14,22.36,22.3,差,⚠️ 流动性差
9,002136.SZ,4.11175012588501,3.74%,23,0,skip,0,暂不执行,buy,23,13.42,13.38,差,⚠️ 流动性差
10,002846.SZ,4.092611312866211,3.73%,25,20,skip,0,暂不执行,buy,5,12.3,12.27,差,⚠️ 流动性差
11,002114.SZ,4.004404067993164,3.65%,38,27,skip,0,暂不执行,buy,11,7.98,7.95,差,⚠️ 流动性差
12,300437.SZ,3.948810338973999,3.60%,24,0,skip,0,暂不执行,buy,24,12.67,12.63,差,⚠️ 流动性差
13,300248.SZ,3.9101674556732178,3.56%,33,0,skip,0,暂不执行,buy,33,8.98,8.95,差,⚠️ 流动性差
14,300446.SZ,3.90997576713562,3.56%,18,12,skip,0,暂不执行,buy,6,16.32,16.27,差,⚠️ 流动性差
15,002324.SZ,3.9018776416778564,3.55%,24,21,skip,0,暂不执行,buy,3,12.35,12.32,差,⚠️ 流动性差
16,300365.SZ,3.8763880729675293,3.53%,53,0,skip,0,暂不执行,buy,53,5.58,5.56,差,⚠️ 流动性差
17,300272.SZ,3.8415424823760986,3.50%,48,37,skip,0,暂不执行,buy,11,6.17,6.15,差,⚠️ 流动性差
18,300589.SZ,3.8177602291107178,3.48%,21,0,skip,0,暂不执行,buy,21,13.74,13.7,差,⚠️ 流动性差
19,300025.SZ,3.7735793590545654,3.44%,57,0,skip,0,暂不执行,buy,57,5.11,5.09,中,
20,002623.SZ,3.7003555297851562,3.37%,15,0,skip,0,暂不执行,buy,15,19.02,18.96,差,⚠️ 流动性差
21,300307.SZ,3.554034948348999,3.24%,40,0,skip,0,暂不执行,buy,40,6.81,6.79,差,⚠️ 流动性差
22,300435.SZ,3.455033302307129,3.15%,14,0,skip,0,暂不执行,buy,14,18.62,18.56,差,⚠️ 流动性差
23,002858.SZ,3.4124767780303955,3.11%,19,16,skip,0,暂不执行,buy,3,13.56,13.52,差,⚠️ 流动性差
24,300971.SZ,3.3949978351593018,3.09%,11,0,skip,0,暂不执行,buy,11,22.03,21.97,中,
25,600843.SH,3.3806545734405518,3.08%,33,0,skip,0,暂不执行,buy,33,7.83,7.8,差,⚠️ 流动性差
26,300505.SZ,3.299170732498169,3.00%,12,0,skip,0,暂不执行,buy,12,21.15,21.09,差,⚠️ 流动性差
27,002278.SZ,3.2803971767425537,2.99%,27,0,skip,0,暂不执行,buy,27,9.09,9.06,差,⚠️ 流动性差
28,002313.SZ,3.254136800765991,2.96%,27,23,skip,0,暂不执行,buy,4,9.14,9.11,差,⚠️ 流动性差
0,002206.SZ,-5.40183162689209,0.00%,0,36,sell,36,本次执行,outsider_sell,36,0.0,5.52,差,🔄 烂股清理 ⚠️流动性差
0,300822.SZ,-2.2865049839019775,0.00%,0,17,sell,17,本次执行,outsider_sell,17,0.0,14.63,差,🔄 烂股清理 ⚠️流动性差
