操作,股票代码,目标手数,建议买入价,预估金额,风险提示
买入,002591.SZ,4400,5.74,25256.0,⚠️ 流动性差
买入,002486.SZ,9800,2.47,24206.000000000004,⚠️ 流动性差
买入,603818.SH,6500,3.7,24050.0,⚠️ 流动性差
买入,002769.SZ,2700,7.9,21330.0,⚠️ 流动性差
买入,300801.SZ,1300,16.15,20994.999999999996,⚠️ 流动性差
买入,002790.SZ,2800,7.36,20608.0,⚠️ 流动性差
买入,301198.SZ,1800,10.91,19638.0,
买入,688079.SH,2200,9.15,20130.0,⚠️ 流动性差
买入,300410.SZ,3300,5.9,19470.0,⚠️ 流动性差
买入,603810.SH,1200,15.58,18696.0,⚠️ 流动性差
买入,000570.SZ,3200,5.8,18560.0,⚠️ 流动性差
买入,603289.SH,1900,9.53,18107.0,⚠️ 流动性差
买入,002659.SZ,3800,4.81,18278.0,⚠️ 流动性差
买入,002638.SZ,7900,2.33,18407.0,
买入,300736.SZ,1800,9.96,17928.0,⚠️ 流动性差
买入,300642.SZ,1200,14.22,17064.0,
买入,001228.SZ,700,23.64,16548.0,⚠️ 流动性差
买入,603787.SH,1500,11.76,17640.0,⚠️ 流动性差
买入,600429.SH,3800,4.75,18050.0,⚠️ 流动性差
买入,301017.SZ,1400,12.29,17206.0,⚠️ 流动性差
买入,000757.SZ,3900,4.59,17901.0,⚠️ 流动性差
买入,603115.SH,1200,14.44,17328.0,
买入,000529.SZ,2900,6.11,17719.0,
买入,301246.SZ,1200,14.29,17148.0,⚠️ 流动性差
买入,603221.SH,1500,11.11,16665.0,⚠️ 流动性差
买入,300365.SZ,2700,6.26,16902.0,
买入,600272.SH,1200,13.96,16752.0,⚠️ 流动性差
买入,300358.SZ,2200,7.64,16808.0,⚠️ 流动性差
买入,002216.SZ,1300,11.93,15509.0,⚠️ 流动性差
买入,603122.SH,2400,6.83,16392.0,⚠️ 流动性差
买入,300317.SZ,4100,3.93,16113.0,⚠️ 流动性差
买入,301332.SZ,1500,10.52,15780.0,⚠️ 流动性差
买入,600337.SH,7200,2.23,16056.0,⚠️ 流动性差
买入,000978.SZ,2600,6.01,15626.0,⚠️ 流动性差
买入,601218.SH,4200,3.69,15498.0,⚠️ 流动性差
买入,300929.SZ,1500,9.94,14910.0,
买入,603136.SH,1200,11.8,14160.0,⚠️ 流动性差
买入,002420.SZ,2500,6.03,15075.0,⚠️ 流动性差
买入,603032.SH,1000,13.92,13920.0,⚠️ 流动性差
买入,603808.SH,1900,7.79,14801.0,
买入,300272.SZ,2400,6.2,14880.0,⚠️ 流动性差
买入,300614.SZ,1200,12.23,14676.0,
买入,688679.SH,800,17.25,13800.0,⚠️ 流动性差
买入,000692.SZ,4200,3.52,14784.0,⚠️ 流动性差
买入,000020.SZ,1100,12.54,13793.999999999998,⚠️ 流动性差
买入,000812.SZ,3200,4.59,14688.0,
买入,603687.SH,1900,7.43,14117.0,⚠️ 流动性差
买入,002787.SZ,1700,8.47,14399.000000000002,⚠️ 流动性差
买入,002209.SZ,1200,12.07,14484.0,⚠️ 流动性差
买入,600356.SH,1700,8.1,13770.0,⚠️ 流动性差
