排名,股票代码,分数,权重,目标手数,当前手数,操作,需买卖手数,建议买入价,建议卖出价,流动性,风险提示
1,002998.SZ,5.85737419128418,2.75%,2900,0,buy,2900,8.24,8.24,差,⚠️ 流动性差
2,003003.SZ,5.495911598205566,2.58%,1900,0,buy,1900,11.88,11.88,中,
3,002802.SZ,5.363311767578125,2.52%,1700,0,buy,1700,12.68,12.68,差,⚠️ 流动性差
4,601996.SH,5.277091979980469,2.48%,8100,0,buy,8100,2.66,2.66,差,⚠️ 流动性差
5,603679.SH,5.274580001831055,2.48%,1200,0,buy,1200,17.07,17.07,差,⚠️ 流动性差
6,300805.SZ,5.211112976074219,2.45%,2400,0,buy,2400,8.61,8.61,中,
7,002324.SZ,5.168087959289551,2.43%,1700,0,buy,1700,12.3,12.3,差,⚠️ 流动性差
8,002809.SZ,5.152077674865723,2.42%,2400,0,buy,2400,8.86,8.86,差,⚠️ 流动性差
9,603506.SH,5.022412300109863,2.36%,1800,0,buy,1800,11.47,11.47,差,⚠️ 流动性差
10,603909.SH,4.99928617477417,2.35%,1900,0,buy,1900,10.34,10.34,差,⚠️ 流动性差
11,003038.SZ,4.961993217468262,2.33%,1600,0,buy,1600,12.35,12.35,差,⚠️ 流动性差
12,002494.SZ,4.885501861572266,2.29%,3700,0,buy,3700,5.32,5.32,差,⚠️ 流动性差
13,002846.SZ,4.754322528839111,2.23%,1500,0,buy,1500,12.33,12.33,差,⚠️ 流动性差
14,300822.SZ,4.544419288635254,2.13%,1300,0,buy,1300,13.79,13.79,差,⚠️ 流动性差
15,002111.SZ,4.498011589050293,2.11%,1800,0,buy,1800,10.18,10.18,差,⚠️ 流动性差
16,300334.SZ,4.489666938781738,2.11%,2500,0,buy,2500,7.35,7.35,中,
17,600493.SH,4.473146438598633,2.10%,2800,0,buy,2800,6.44,6.44,中,
18,300272.SZ,4.459996700286865,2.09%,3000,0,buy,3000,6.13,6.13,差,⚠️ 流动性差
19,002875.SZ,4.403560638427734,2.07%,800,0,buy,800,20.6,20.6,差,⚠️ 流动性差
20,300214.SZ,4.396488189697266,2.06%,2300,0,buy,2300,7.8,7.8,差,⚠️ 流动性差
21,002374.SZ,4.359178066253662,2.05%,5400,0,buy,5400,3.33,3.33,差,⚠️ 流动性差
22,300823.SZ,4.2451677322387695,1.99%,1000,0,buy,1000,17.06,17.06,差,⚠️ 流动性差
23,300405.SZ,4.21409273147583,1.98%,2700,0,buy,2700,6.42,6.42,差,⚠️ 流动性差
24,002114.SZ,4.20971155166626,1.98%,2100,0,buy,2100,7.91,7.91,差,⚠️ 流动性差
25,002858.SZ,4.128429412841797,1.94%,1200,0,buy,1200,13.22,13.22,差,⚠️ 流动性差
26,300422.SZ,4.072877883911133,1.91%,3200,0,buy,3200,5.24,5.24,差,⚠️ 流动性差
27,002313.SZ,4.067831993103027,1.91%,1800,0,buy,1800,8.93,8.93,差,⚠️ 流动性差
28,300610.SZ,4.03726053237915,1.89%,1500,0,buy,1500,10.75,10.75,差,⚠️ 流动性差
29,002729.SZ,3.961509943008423,1.86%,800,0,buy,800,19.0,19.0,差,⚠️ 流动性差
30,002148.SZ,3.946662187576294,1.85%,2400,0,buy,2400,6.63,6.63,中,
31,600470.SH,3.8689334392547607,1.82%,2900,0,buy,2900,5.36,5.36,差,⚠️ 流动性差
32,300643.SZ,3.863990068435669,1.81%,900,0,buy,900,16.5,16.5,中,
33,300446.SZ,3.846318006515503,1.80%,900,0,buy,900,16.21,16.21,中,
34,300817.SZ,3.834258794784546,1.80%,800,0,buy,800,18.42,18.42,差,⚠️ 流动性差
35,002591.SZ,3.81160569190979,1.79%,2000,0,buy,2000,7.81,7.81,差,⚠️ 流动性差
36,300509.SZ,3.794236660003662,1.78%,1600,0,buy,1600,9.63,9.63,差,⚠️ 流动性差
37,600099.SH,3.7861721515655518,1.78%,1600,0,buy,1600,9.68,9.68,差,⚠️ 流动性差
38,300514.SZ,3.737135648727417,1.75%,1400,0,buy,1400,10.93,10.93,中,
39,603029.SH,3.660565137863159,1.72%,900,0,buy,900,16.78,16.78,中,
40,603183.SH,3.6424288749694824,1.71%,3600,0,buy,3600,4.11,4.11,中,
41,002817.SZ,3.6183478832244873,1.70%,2100,0,buy,2100,6.92,6.92,中,
42,002206.SZ,3.5869553089141846,1.68%,2800,0,buy,2800,5.15,5.15,差,⚠️ 流动性差
43,600148.SH,3.5610578060150146,1.67%,800,0,buy,800,16.91,16.91,差,⚠️ 流动性差
44,603285.SH,3.5545012950897217,1.67%,300,0,buy,300,47.86,47.86,中,
45,002363.SZ,3.5370473861694336,1.66%,2000,0,buy,2000,7.08,7.08,中,
46,603386.SH,3.5226123332977295,1.65%,900,0,buy,900,15.61,15.61,差,⚠️ 流动性差
47,600654.SH,3.50909686088562,1.65%,4400,0,buy,4400,3.28,3.28,差,⚠️ 流动性差
48,300435.SZ,3.480973482131958,1.63%,700,0,buy,700,18.49,18.49,差,⚠️ 流动性差
49,600379.SH,3.480051040649414,1.63%,1000,0,buy,1000,13.16,13.16,差,⚠️ 流动性差
50,300786.SZ,3.470447301864624,1.63%,700,0,buy,700,18.27,18.27,差,⚠️ 流动性差
