排名,股票代码,分数,权重,目标手数,当前手数,操作,需买卖手数,执行状态,目标操作,目标需买卖手数,建议买入价,建议卖出价,流动性,风险提示
1,300214.SZ,0.9813932265260596,3.70%,40,0,buy,40,本次执行,buy,40,7.75,7.72,差,⚠️ 流动性差
2,300307.SZ,0.961113364429122,3.62%,45,0,buy,45,本次执行,buy,45,6.81,6.79,差,⚠️ 流动性差
3,002695.SZ,0.9571080916649767,3.61%,26,0,buy,26,本次执行,buy,26,11.47,11.44,差,⚠️ 流动性差
4,601996.SH,0.9566517947677955,3.61%,113,0,buy,113,本次执行,buy,113,2.7,2.69,差,⚠️ 流动性差
5,300753.SZ,0.9551308051105252,3.60%,13,0,skip,0,暂不执行,buy,13,22.36,22.3,差,⚠️ 流动性差
6,002136.SZ,0.9548266071790712,3.60%,22,0,skip,0,暂不执行,buy,22,13.42,13.38,差,⚠️ 流动性差
7,002846.SZ,0.9545224092476171,3.60%,24,18,skip,0,暂不执行,buy,6,12.3,12.27,差,⚠️ 流动性差
8,002114.SZ,0.9528493206246197,3.59%,38,0,skip,0,暂不执行,buy,38,7.98,7.95,差,⚠️ 流动性差
9,300248.SZ,0.9510241330358954,3.59%,34,0,skip,0,暂不执行,buy,34,8.98,8.95,差,⚠️ 流动性差
10,300446.SZ,0.9508720340701683,3.59%,18,14,skip,0,暂不执行,buy,4,16.32,16.27,差,⚠️ 流动性差
11,002324.SZ,0.9507199351044412,3.58%,24,18,skip,0,暂不执行,buy,6,12.35,12.32,差,⚠️ 流动性差
12,300447.SZ,0.950669235449199,3.58%,19,0,skip,0,暂不执行,buy,19,15.96,15.91,差,⚠️ 流动性差
13,300365.SZ,0.9505678361387142,3.58%,54,0,skip,0,暂不执行,buy,54,5.58,5.56,差,⚠️ 流动性差
14,300272.SZ,0.949807341310079,3.58%,49,37,skip,0,暂不执行,buy,12,6.17,6.15,差,⚠️ 流动性差
15,300589.SZ,0.9496552423443521,3.58%,22,0,skip,0,暂不执行,buy,22,13.74,13.7,差,⚠️ 流动性差
16,002623.SZ,0.9472216588927195,3.57%,16,0,skip,0,暂不执行,buy,16,19.02,18.96,差,⚠️ 流动性差
17,300871.SZ,0.9470188602717502,3.57%,14,0,skip,0,暂不执行,buy,14,21.29,21.23,差,⚠️ 流动性差
18,300435.SZ,0.9429628878523625,3.56%,16,12,skip,0,暂不执行,buy,4,18.62,18.56,差,⚠️ 流动性差
19,300279.SZ,0.941695396471304,3.55%,42,0,skip,0,暂不执行,buy,42,7.18,7.16,差,⚠️ 流动性差
20,300505.SZ,0.9387041168120057,3.54%,14,0,skip,0,暂不执行,buy,14,21.15,21.09,差,⚠️ 流动性差
21,300933.SZ,0.9376394240519165,3.54%,38,0,skip,0,暂不执行,buy,38,7.75,7.72,差,⚠️ 流动性差
22,300192.SZ,0.9364226323261001,3.53%,17,0,skip,0,暂不执行,buy,17,16.95,16.9,差,⚠️ 流动性差
23,002085.SZ,0.9359156357736766,3.53%,25,0,skip,0,暂不执行,buy,25,11.94,11.91,中,
24,300207.SZ,0.935510038531738,3.53%,13,0,skip,0,暂不执行,buy,13,22.83,22.76,中,
25,002553.SZ,0.9348509430135874,3.53%,16,0,skip,0,暂不执行,buy,16,18.42,18.36,差,⚠️ 流动性差
26,300801.SZ,0.9339890488744677,3.52%,11,0,skip,0,暂不执行,buy,11,26.97,26.89,差,⚠️ 流动性差
27,603901.SH,0.9312005678361387,3.51%,26,0,skip,0,暂不执行,buy,26,11.29,11.26,差,⚠️ 流动性差
28,300404.SZ,0.9303893733522612,3.51%,29,0,skip,0,暂不执行,buy,29,10.01,9.98,差,⚠️ 流动性差
0,000936.SZ,0.3804755627661732,0.00%,0,35,sell,35,本次执行,outsider_sell,35,0.0,6.49,差,🔄 烂股清理 ⚠️流动性差
0,002609.SZ,0.2883289393632123,0.00%,0,28,sell,28,本次执行,outsider_sell,28,0.0,8.12,差,🔄 烂股清理 ⚠️流动性差
